username	server	user_id
Moreorloess	mstdn.social	109294412469767081
moritz	toot.community	109666524098525759
mothlight	fediscience.org	109304712042400479
mpsgoettingen	astrodon.social	109279524825895564
mrak	fosstodon.org	-1
mrshll	werm.world	-1
NadWGab	mas.to	109315545800743323
natalieanne	mstdn.social	109327877824834405
nelereyni	fediscience.org	109301840006967390
NicoFroehberg	fediscience.org	109244667491033608
NikaShilobod	fediscience.org	109291644558220307
niklas	niklas.social	109524957019205616
nina_davtian	mastodon.world	109365435919209123
nishtha_srivastava	techhub.social	109354176266064049
nocharge	mastodon.uno	109389502759681165
nsashi	mapstodon.space	109332232009259940
OceanAndClimate	fediscience.org	109293614991164989
oj_crawford	mastodon.social	-1
ojanespelt	mastodont.cat	109280278361872066
olamb245	techhub.social	109372062943377440
oldguy52	techhub.social	109364513954743873
olivocene	mas.to	109548102609618211
ombialik	mastodon.world	109419786597201323
onamoraine	mastodon.social	109244013388318651
paleoquake	mastodon.social	109258644818464289
PaulAlanis	scicomm.xyz	109293967400233463
paulharnik	ecoevo.social	109385574857253069
paulknightly	mstdn.social	109270108148886891
paultgriffiths	atmoschem.org	109345402019636834
PeterGleick	fediscience.org	109293241018107945
PeterJWagner6	mastodon.social	109258988265906972
peterreiners	scicomm.xyz	109294398665414398
philgoodwin	universeodon.com	109370920682343880
PhilGopon	sciencemastodon.com	109551810486333414
philippesteer	sciencemastodon.com	109427935994032745
phoebefossil	mastodon.sdf.org	-1
planetarypan	tech.lgbt	109294428818243170
prehistormic	fediscience.org	109270013079151163
rachelOB1	mastodon.social	109251711103144876
RachelRocks	mastodon.social	109245344908479361
RandomOzChron	botsin.space	109451679440563318
RaphaelGrandin	social.linux.pizza	109290196424826761
ReedMaxwell	mastodon.social	109258925222340231
repepo	astrodon.social	109330576050451318
rglueckler	fediscience.org	109279485560538909
rhinog	toot.wales	108850770895569904
richardabetts	universeodon.com	109369565997151941
rivergeomorh	union.place	-1
RobinLacassin	qoto.org	-1
rock_jockey	sciencemastodon.com	109351881198372681
rockdoctorkristy	aus.social	109268424435601776
rocknuts	qoto.org	-1
roelof	fediscience.org	6121
rrleon1	mindly.social	-1
rs_jones	mstdn.science	109294950632784408
ruth_mottram	fediscience.org	108199192989373252
sacrebluecarbon	fediscience.org	109293144849928388
SakuRainbow	ieji.de	109289120323529414
salt_sed_belle	aus.social	109301828535151490
Sandra_Passchier	fediscience.org	109294223542892053
sandramcgeo	aus.social	109244426384461671
sangasso	airpollution.science	109379253825452646
SatelliteSci	mapstodon.space	109367782406222266
scotfot	mastodon.scot	109291723168942673
Scott_wx	universeodon.com	109376638156003199
scseamonkies	mstdn.social	-1
seair_hjkim	mstdn.jp	-1
seddyrocks	mstdn.party	109362834780493834
SeftonGeo	aus.social	109265211813067152
Seis_matters	mastodon.social	109286467022603033
seislologist	qoto.org	-1
seismic_noise	scicomm.xyz	109246361682711714
seismo_amy	scicomm.xyz	109287822236285525
seismogenic	mastodon.online	108194587240860735
Seismopaul	mastodon.online	109295530771822721
SeismoTick	mstdn.science	109370795135748712
SFBoilermaker	sfba.social	109261240448046398
sfoxx	mas.to	109321325128554250
sgirardclos	mastodon.top	109268220121776297
shmermel	mastodon.online	109300294904830974
silicatefondue	fosstodon.org	109451517088097288
simoncarn	mastodon.social	109636186758601629
simonjgoring	ecoevo.social	109366855783887869
srmulcahy	mastodon.social	147669
stefano_maffei	universeodon.com	109312875068083674
stephenhui	mstdn.ca	109293929396402933
stevenjgibbons	oslo.town	109257072803619731
SteveWang251	fediscience.org	109294593835790051
StreamOfSophie	mstdn.science	109385992581736672
stressrelated	mastodon.social	109235667559177975
subu_caps	airpollution.science	109317833666854900
swarls_lim	mastodon.lol	109365005230972209
takeshun1984	mstdn.jp	-1
TatianaIlyina	mas.to	109261759568544350
TC_Chakraborty	fediscience.org	109304370943008871
tchlrn716	mastodon.world	109380078568276859
TerraSabaea	mastodon.social	109253383158758242
ClimateTessa	mastodon.social	109243766396642934
TheFosterLab	mas.to	109536710280633914
TheNobleGasbag	mastodon.social	109245570064438740
thobbsgeo	ohai.social	109365952821364936
Thomashegna	ecoevo.social	109333997850327856
tillku	mastodon.sdf.org	109275416381204752
tilvi	mastodon.social	1279094
timblor	scicomm.xyz	109293889913913282
timholtwilson	mastodon.green	109273310431814445
tlalolinillotl	mstdn.science	109337109207694070
Toby	fediscience.org	-1
TopoForte	scicomm.xyz	109297009798663052
topotoolbox	mastodon.green	109293006384226340
triptychphrases	qoto.org	-1
Tuff_Cookie	fediscience.org	109303472813213818
urbangeology	mastodon.online	109501789773497063
urbanzoochory	ecoevo.social	109363632301137656
vfmcneill	airpollution.science	109344264065854332
vickyveritas	c.im	109413148054682852
volcan01010	fosstodon.org	109384414658163995
volcano_diana	fediscience.org	109325135317772344
volcanojenni	fediscience.org	109267456914525374
Volcanologist	mastodon.online	109271107885939743
voooos	sciencemastodon.com	109281870288109544
wahyudia	mastodon.social	109324715894705132
watershedlab	fediscience.org	109299016215783471
weatherdak	mstdn.social	109287678224460842
Weston_Quakes	scicomm.xyz	109294722214539587
willerstorfi	fediscience.org	109302212608901315
wschmelz	fediscience.org	109333601377678087
wsmproject	mastodon.world	109385740524657960
wstevenholbrook	home.social	109463222512756437
wvgeomorph	fediscience.org	109303164607071382
Xeno_lith	sfba.social	109293775420253212
yamina	mastodon.art	109297419523143833
yirara_bah	mstdn.social	109315213289885006
YoFukushima	mstdn.jp	-1
zersorger	scicomm.xyz	109292674690294732
ZLabe	fediscience.org	109287688894858993
zross	sciencemastodon.com	109317551120323871
zygoloph	mastodon.social	477704
